epoch,mse_normalized,mse_physical,l2_norm_error,l2_norm_u,l2_norm_v,parameter_error,du_error,dv_error,f_error,k_error,physics_loss,data_loss,ic_loss,bc_loss,total_loss,u_mse,v_mse,u_relative_error,v_relative_error
0,0.9200023412704468,0.074477896,0.9627684354782104,0.9165964126586914,1.0067757368087769,0.6250034700465935,0.5000046241620613,0.37499961784892094,4.304777501346138e-08,1.8699492669336578e-08,9.689299986348487e-06,0.16565479338169098,0.10606825351715088,0.0,10.666420936584473,0.0628747,0.011603196,0.9166074,1.0067767
1,0.7836653590202332,0.058085587,0.888572096824646,0.7944693565368652,0.9735282063484192,0.6250083129573848,0.500010957155252,0.37499924531993767,4.304777501346138e-08,1.8699492669336578e-08,9.187173418467864e-06,0.0742194727063179,0.03693075478076935,0.0,3.7303733825683594,0.0472361,0.010849488,0.794479,0.9735291
2,0.8089630007743835,0.06655371,0.9028002619743347,0.8692197799682617,0.9351391196250916,0.6250475953704302,0.5000606525253488,0.3749984536958482,4.304777501346138e-08,1.8699492669336578e-08,1.5169747712207027e-05,0.03915932774543762,0.00994139350950718,0.0,1.0233724117279053,0.056543004,0.010010705,0.8692302,0.93514
3,0.8465055227279663,0.07372585,0.9235114455223083,0.9246683716773987,0.9223542213439941,0.6250885575775258,0.5001120615288971,0.37499817429911075,4.304777501346138e-08,1.8699492669336578e-08,2.111768480972387e-05,0.05371289700269699,0.020051361992955208,0.0,2.0388190746307373,0.063986994,0.009738851,0.9246795,0.9223552
4,0.8358641266822815,0.071941815,0.9176883697509766,0.9114511013031006,0.9238764047622681,0.6251276323270096,0.500160900082268,0.37499817429911075,4.304777501346138e-08,1.8699492669336578e-08,1.8702581655816175e-05,0.0663108229637146,0.028939059004187584,0.0,2.9312963485717773,0.062170792,0.00977102,0.91146207,0.92387724
5,0.7996463179588318,0.065852255,0.8975865840911865,0.8647931814193726,0.9291874766349792,0.6251645213023315,0.5002067956564503,0.3749984536958482,4.304777501346138e-08,1.8699492669336578e-08,1.2029344361508265e-05,0.061909109354019165,0.025373782962560654,0.0,2.573925495147705,0.05596857,0.009883685,0.8648036,0.9291884
6,0.7676369547843933,0.060560033,0.8794382214546204,0.822214663028717,0.9330992102622986,0.6251984231887968,0.5002488169289159,0.3749989193570773,4.304777501346138e-08,1.8699492669336578e-08,5.3699122872785665e-06,0.050016138702631,0.016501575708389282,0.0,1.6836775541305542,0.050592955,0.009967076,0.8222245,0.9331
7,0.7527669072151184,0.058484897,0.8708785176277161,0.8054282069206238,0.9316749572753906,0.6252266457907648,0.500283983667575,0.374999059055446,4.304777501346138e-08,1.8699492669336578e-08,3.939132056984818e-06,0.040902260690927505,0.01003197394311428,0.0,1.034071683883667,0.04854822,0.009936675,0.8054379,0.9316759
8,0.7462981343269348,0.058136497,0.8671286106109619,0.8034747838973999,0.9263531565666199,0.625244507105039,0.5003069687075673,0.37499817429911075,4.304777501346138e-08,1.8699492669336578e-08,7.797632861183956e-06,0.0399356447160244,0.010172171518206596,0.0,1.0469883680343628,0.048313014,0.009823482,0.80348444,0.9263541
9,0.7414190769195557,0.057905573,0.8642896413803101,0.8023114204406738,0.9220468997955322,0.6252552389607974,0.5003214973390048,0.3749966841831776,4.304777501346138e-08,1.8699492669336578e-08,8.578988854424097e-06,0.04165126755833626,0.012216025963425636,0.0,1.2510464191436768,0.04817321,0.009732362,0.8023211,0.9220478
10,0.7379464507102966,0.057662442,0.8622630834579468,0.8007070422172546,0.9196443557739258,0.6252607376581422,0.5003297302301528,0.37499486810438415,4.304777501346138e-08,1.8699492669336578e-08,6.562188900716137e-06,0.04156428948044777,0.012406903319060802,0.0,1.2698543071746826,0.047980733,0.009681709,0.8007166,0.91964525
11,0.7378905415534973,0.05774809,0.8622303605079651,0.8015627861022949,0.9188381433486938,0.6252624898077983,0.500333455520265,0.37499281919497607,4.304777501346138e-08,1.8699492669336578e-08,4.018550953333033e-06,0.03985966742038727,0.010956162586808205,0.0,1.1245237588882446,0.048083346,0.009664743,0.8015724,0.91883916
12,0.7401270866394043,0.05808407,0.8635361194610596,0.804356038570404,0.9188509583473206,0.6252628205239842,0.500335578935629,0.3749905374549535,4.304777501346138e-08,1.8699492669336578e-08,2.7494897949509323e-06,0.0381520576775074,0.00927845947444439,0.0,0.9567223191261292,0.04841906,0.009665011,0.80436575,0.91885185
13,0.7377585768699646,0.057687055,0.8621532320976257,0.8009920120239258,0.9191905856132507,0.6252685374440561,0.5003442588615904,0.37498848854554545,4.304777501346138e-08,1.8699492669336578e-08,3.2788725548016373e-06,0.037761952728033066,0.008692456409335136,0.0,0.8983184099197388,0.048014898,0.009672157,0.8010016,0.9191914
14,0.7354699373245239,0.057249963,0.8608149886131287,0.7971991300582886,0.9199768304824829,0.6252788656206287,0.5003585267227201,0.37498667246675194,4.304777501346138e-08,1.8699492669336578e-08,3.9930159800860565e-06,0.03781198337674141,0.008809483610093594,0.0,0.909954845905304,0.047561254,0.00968871,0.7972087,0.91997766
15,0.7355037927627563,0.057133205,0.8608347773551941,0.7960355281829834,0.9210196137428284,0.6252936803060306,0.5003781217487102,0.37498522891694175,4.304777501346138e-08,1.8699492669336578e-08,4.213792635709979e-06,0.0376066118478775,0.00868462584912777,0.0,0.897388756275177,0.047422517,0.009710687,0.7960451,0.9210205
16,0.7373557090759277,0.057356745,0.8619178533554077,0.7978251576423645,0.9214974641799927,0.6253146250827227,0.5004051673549248,0.37498406476386903,4.304777501346138e-08,1.8699492669336578e-08,3.925735654775053e-06,0.03725894168019295,0.008276969194412231,0.0,0.8566828370094299,0.04763598,0.009720767,0.79783475,0.9214984
17,0.7337272763252258,0.057009447,0.859794557094574,0.7952149510383606,0.9197845458984375,0.6253432599828139,0.5004417869567277,0.37498294717691916,4.304777501346138e-08,1.8699492669336578e-08,3.205191660526907e-06,0.03733577951788902,0.008168923668563366,0.0,0.8460624814033508,0.047324784,0.009684662,0.7952244,0.9197855
18,0.7283397316932678,0.056372926,0.8566321730613708,0.7901180386543274,0.9182727336883545,0.6253720466749629,0.5004786300759373,0.37498178302384644,4.304777501346138e-08,1.8699492669336578e-08,2.452856278978288e-06,0.03720223903656006,0.008242413401603699,0.0,0.8532035946846008,0.046720076,0.00965285,0.79012746,0.9182736
19,0.725168764591217,0.05588945,0.8547652959823608,0.7860113978385925,0.9183158278465271,0.6253976275692383,0.5005117106521336,0.3749802929079133,4.304777501346138e-08,1.8699492669336578e-08,2.0510692593234126e-06,0.03662651777267456,0.008066166192293167,0.0,0.8351789712905884,0.046235695,0.009653756,0.7860209,0.9183167
20,0.7272127270698547,0.056038633,0.8559691309928894,0.7870348691940308,0.9196805357933044,0.6254168052397117,0.5005374524068089,0.3749779180356449,4.304777501346138e-08,1.8699492669336578e-08,1.7775873857317492e-06,0.035933662205934525,0.007708944380283356,0.0,0.7991209030151367,0.046356164,0.00968247,0.7870442,0.9196814
21,0.7289500832557678,0.05633607,0.8569909930229187,0.7896094918251038,0.9193783402442932,0.6254281780770957,0.5005541044536105,0.3749746584070412,4.304777501346138e-08,1.8699492669336578e-08,1.5541450011369307e-06,0.035897549241781235,0.0076638879254460335,0.0,0.7946239709854126,0.04665996,0.009676109,0.78961897,0.91937923
22,0.7281369566917419,0.056314502,0.8565129041671753,0.7895813584327698,0.9185114502906799,0.6254360126305183,0.5005665096696841,0.3749711659478229,4.304777501346138e-08,1.8699492669336578e-08,1.5816176528460346e-06,0.03618721291422844,0.007792661897838116,0.0,0.8076623678207397,0.04665663,0.00965787,0.78959084,0.91851234
23,0.7250085473060608,0.05588664,0.8546708226203918,0.7860203385353088,0.9181323647499084,0.6254409349112693,0.5005754503659533,0.37496744065799015,4.304777501346138e-08,1.8699492669336578e-08,1.702310100881732e-06,0.03613026440143585,0.0077115921303629875,0.0,0.7995796203613281,0.046236742,0.009649901,0.78602976,0.9181333
24,0.7238613963127136,0.05567132,0.8539944887161255,0.7841230630874634,0.9184947609901428,0.6254430120699815,0.500581150059825,0.37496329627305114,4.304777501346138e-08,1.8699492669336578e-08,1.727575863696984e-06,0.035794325172901154,0.007555043324828148,0.0,0.7837453484535217,0.0460138,0.00965752,0.7841324,0.91849566
25,0.7259775996208191,0.05597635,0.8552418947219849,0.7866958975791931,0.9186171889305115,0.6254441484823581,0.5005859184311686,0.37495882592525176,4.304777501346138e-08,1.8699492669336578e-08,1.7852648852567654e-06,0.035633694380521774,0.007481907494366169,0.0,0.776344358921051,0.046316255,0.009660095,0.7867054,0.9186181
26,0.726222038269043,0.05610369,0.8553858399391174,0.7879149317741394,0.9178411960601807,0.6254468728253466,0.5005928102178762,0.37495416931296077,4.304777501346138e-08,1.8699492669336578e-08,1.9112337668047985e-06,0.035823386162519455,0.007499757222831249,0.0,0.7783012986183167,0.046459913,0.00964378,0.78792447,0.9178421
27,0.7246525883674622,0.055959973,0.8544610738754272,0.7868379950523376,0.9170418381690979,0.6254508102447546,0.5006010431090241,0.37494974553128435,4.304777501346138e-08,1.8699492669336578e-08,1.8050541257252917e-06,0.03591468930244446,0.007492324337363243,0.0,0.7776565551757812,0.04633298,0.009626991,0.7868474,0.9170428
28,0.7229110598564148,0.055753898,0.8534336090087891,0.7851731181144714,0.9165547490119934,0.6254553460197299,0.5006100583110956,0.37494527518348497,4.304777501346138e-08,1.8699492669336578e-08,1.7450195173296379e-06,0.03577588126063347,0.007398529909551144,0.0,0.7682320475578308,0.04613713,0.009616766,0.78518265,0.91655564
29,0.7220197916030884,0.055614073,0.8529074788093567,0.7839744091033936,0.9166007041931152,0.6254595653489718,0.5006188872486615,0.3749405254389481,4.304777501346138e-08,1.8699492669336578e-08,1.8400937733531464e-06,0.0356246754527092,0.007365337572991848,0.0,0.7647949457168579,0.04599634,0.009617731,0.7839837,0.91660166
30,0.722527027130127,0.05568747,0.853206992149353,0.7845947742462158,0.9166276454925537,0.6254626295377405,0.5006264123346882,0.37493558942991967,4.304777501346138e-08,1.8699492669336578e-08,1.7716783986543305e-06,0.035458456724882126,0.007328897714614868,0.0,0.7610211372375488,0.046069175,0.009618294,0.78460413,0.9166285
31,0.7220370173454285,0.055655558,0.8529176115989685,0.7843875288963318,0.9162664413452148,0.6254649166720223,0.5006329315923845,0.3749306999870141,4.304777501346138e-08,1.8699492669336578e-08,1.6211922684306046e-06,0.03544112294912338,0.007331268861889839,0.0,0.7612383365631104,0.04604484,0.009610716,0.7843969,0.91626734
32,0.7210129499435425,0.05548183,0.8523125648498535,0.78287672996521,0.9164316654205322,0.6254672000943945,0.5006393763442786,0.3749259036763544,4.304777501346138e-08,1.8699492669336578e-08,1.6706173937564017e-06,0.03539947420358658,0.007306402549147606,0.0,0.7587350010871887,0.045867644,0.009614183,0.78288615,0.9164325
33,0.7218853831291199,0.05556336,0.8528280854225159,0.7834951877593994,0.9168623089790344,0.6254697684566933,0.5006459328548761,0.37492143332855504,4.304777501346138e-08,1.8699492669336578e-08,1.7181964722112752e-06,0.03529930114746094,0.007237584795802832,0.0,0.7518219351768494,0.045940142,0.009623219,0.7835046,0.91686314
34,0.7233864068984985,0.05579194,0.8537141680717468,0.7854452133178711,0.9168441295623779,0.6254725043835194,0.5006524893654736,0.37491724237749313,4.304777501346138e-08,1.8699492669336578e-08,1.7513158354631742e-06,0.035382404923439026,0.007208419963717461,0.0,0.7490177154541016,0.0461691,0.009622841,0.78545463,0.9168451
35,0.7228767275810242,0.055756286,0.8534133434295654,0.7852051854133606,0.9164896011352539,0.6254754059601247,0.5006590086231699,0.3749133773892916,4.304777501346138e-08,1.8699492669336578e-08,1.7571567241247976e-06,0.03553793579339981,0.007205354981124401,0.0,0.7488698363304138,0.046140887,0.0096154,0.78521454,0.9164905
36,0.720649003982544,0.05548249,0.8520975112915039,0.7829679250717163,0.9159538745880127,0.6254785886384916,0.5006655651337674,0.3749099314961963,4.304777501346138e-08,1.8699492669336578e-08,1.6909887108340627e-06,0.03549519181251526,0.007179378531873226,0.0,0.7462553381919861,0.045878332,0.00960416,0.78297734,0.9159547
