mse,p_norm,l2_norm
0.06515437,1.4340135,1.5001314
0.029604804,1.4340409,1.0112036
0.030087052,1.4340372,1.0194063
0.044273775,1.4340901,1.2366045
0.052452073,1.4342328,1.3459808
0.049762573,1.4343964,1.3110188
0.040681917,1.4345711,1.1853817
0.031409334,1.4347222,1.0415661
0.02639881,1.4348433,0.9548819
0.027056107,1.4349384,0.9666966
0.031680476,1.4350164,1.0460522
0.03677716,1.4350882,1.1270589
0.03921604,1.4351655,1.1638296
0.03778344,1.4352549,1.1423739
0.033302,1.4353533,1.0724887
0.027752532,1.4354525,0.97905886
0.023177547,1.4355433,0.8947285
0.020833107,1.4356197,0.8482709
0.020807117,1.4356791,0.84774154
0.022166753,1.4357297,0.87500095
0.023574695,1.4357733,0.9023615
0.024016725,1.435814,0.91078186
0.02323699,1.4358544,0.89587504
0.021702526,1.4358902,0.8657901
0.020220494,1.4359229,0.83570576
0.019461924,1.4359493,0.8198802
0.0196333,1.4359691,0.82348216
0.020426268,1.4359839,0.8399473
0.021240765,1.435994,0.85653013
0.021534126,1.4360015,0.86242455
0.021100828,1.4360074,0.85370386
0.020130144,1.4360108,0.8338366
0.019049762,1.4360113,0.8111521
0.018274013,1.4360075,0.7944644
0.017982282,1.4359994,0.7880973
0.018067265,1.4359874,0.78995746
0.01824535,1.4359708,0.7938412
0.01824814,1.4359517,0.79390186
0.017976388,1.4359294,0.7879683
0.017526219,1.4359088,0.7780395
0.01710168,1.4358906,0.76855844
0.016872821,1.435874,0.76339865
0.01687015,1.4358599,0.76333815
0.016978988,1.4358524,0.7657966
0.017025601,1.4358507,0.766847
0.016882937,1.4358557,0.76362747
0.016544899,1.4358714,0.7559439
0.016109666,1.4358987,0.74593467
0.015706968,1.4359376,0.7365525
0.015421558,1.4359871,0.7298299
0.015253296,1.4360464,0.7258374
0.015139689,1.4361188,0.72312933
0.015013778,1.4362036,0.7201161
0.014852541,1.4363081,0.71623886
0.014685993,1.4364294,0.7122118
0.01456298,1.4365705,0.70922273
0.014509011,1.4367278,0.7079073
0.014502006,1.4368998,0.70773643
0.0144871585,1.4370887,0.70737404
0.014409675,1.4372907,0.7054798
0.014250039,1.437505,0.7015611
0.01403169,1.4377348,0.6961655
0.01379903,1.4379839,0.6903698
0.013589676,1.4382551,0.6851127
0.013415737,1.4385481,0.68071413
0.013266079,1.4388591,0.67690665
0.01312591,1.4391867,0.6733211
0.012990657,1.4395291,0.6698431
0.012868447,1.439885,0.66668487
