mse,p_norm,l2_norm
0.21170962,1.4339001,2.7041316
0.11859858,1.4339739,2.0239382
0.06681479,1.4340305,1.5191259
0.05064539,1.4340731,1.3225968
0.05993984,1.4341061,1.4388492
0.08121799,1.4341457,1.6748797
0.10149875,1.4342091,1.8723537
0.11237927,1.4343054,1.970156
0.11121428,1.4344273,1.9599175
0.0997818,1.434571,1.8564496
0.08203708,1.4347299,1.6833043
0.06243826,1.434898,1.4685303
0.044851568,1.4350697,1.2446474
0.03199033,1.4352403,1.0511552
0.0251493,1.4354057,0.93200976
0.024218231,1.4355625,0.9145948
0.027887834,1.435707,0.98144263
0.034068976,1.4358383,1.0847685
0.040439162,1.4359564,1.1818397
0.04501103,1.4360623,1.2468579
0.046571694,1.436158,1.2682898
0.044885084,1.4362435,1.2451123
0.04058718,1.4363203,1.1840006
0.03488108,1.4363897,1.0976212
0.029142193,1.4364519,1.0032718
0.024555122,1.4365087,0.9209341
0.021862956,1.4365613,0.86898434
0.02123971,1.4366118,0.85650873
0.022313444,1.4366622,0.87789136
0.024328763,1.4367152,0.9166796
0.026401702,1.4367727,0.95493424
0.027791038,1.4368355,0.9797379
0.028093345,1.4369054,0.98505217
0.027300421,1.4369802,0.97105134
0.025731465,1.4370606,0.9427353
0.023876928,1.4371445,0.90812737
0.02221995,1.4372307,0.8760503
0.021092933,1.4373164,0.8535442
0.020601865,1.4374003,0.84354985
0.02064157,1.4374825,0.8443624
0.02097019,1.4375615,0.8510571
0.021316575,1.4376374,0.85805714
0.02147752,1.4377098,0.86129034
0.021372592,1.4377788,0.85918385
0.021046586,1.4378446,0.85260594
0.020628506,1.4379077,0.8440952
0.020271191,1.4379693,0.8367527
0.020092124,1.43803,0.8330487
0.020135317,1.4380898,0.8339438
0.020362606,1.4381514,0.8386373
0.020674871,1.4382155,0.8450432
0.020947272,1.4382821,0.85059196
0.021071715,1.4383515,0.8531148
0.020986903,1.4384243,0.85139614
0.020694617,1.4385002,0.84544665
0.020249253,1.4385785,0.8362999
0.019737424,1.4386584,0.82566285
0.019248419,1.4387399,0.8153706
0.018847287,1.4388222,0.8068298
0.018562732,1.4389045,0.80071586
0.018386232,1.4389867,0.79690015
0.018286169,1.4390676,0.7947287
0.018224975,1.4391477,0.7933978
0.01817743,1.4392269,0.7923622
0.018137448,1.4393052,0.7914903
0.018116308,1.4393828,0.7910289
0.018132497,1.43946,0.79138225
0.018199898,1.4395375,0.79285175
0.018318547,1.4396163,0.795432
0.018471954,1.4396956,0.7987556
0.018630948,1.4397767,0.8021858
0.018762723,1.4398597,0.8050177
0.018840767,1.4399447,0.8066902
0.018850753,1.4400322,0.806904
0.018793533,1.440122,0.8056784
0.018684141,1.4402142,0.8033301
0.018545568,1.4403076,0.80034566
0.018399881,1.4404024,0.79719585
0.01826403,1.4404986,0.7942474
0.018147325,1.440596,0.79170585
0.018051406,1.440695,0.7896107
0.017974688,1.4407941,0.78793097
0.017913707,1.4408941,0.78659326
0.017865367,1.4409946,0.7855313
0.01782904,1.4410962,0.7847323
0.017804876,1.4411981,0.7842003
0.017790135,1.4413017,0.7838755
0.017779708,1.4414064,0.7836458
0.017764768,1.4415125,0.78331655
0.017735263,1.4416203,0.7826658
0.017685542,1.4417303,0.7815678
0.01761242,1.4418424,0.7799505
0.017517908,1.4419565,0.7778549
0.01740868,1.442072,0.77542615
0.017292405,1.442189,0.77283216
0.017178616,1.4423076,0.77028525
0.017073257,1.4424276,0.76791954
0.016979678,1.4425479,0.76581216
0.016901456,1.44267,0.76404613
0.016839636,1.4427935,0.7626475
0.016792933,1.4429191,0.7615892
0.016761158,1.4430467,0.7608684
0.016741315,1.4431766,0.7604178
0.01673023,1.4433072,0.7601661
0.016721804,1.4434398,0.7599746
0.016711181,1.4435747,0.75973314
0.016692083,1.4437116,0.7592989
0.01666093,1.4438506,0.75859004
0.016615009,1.4439924,0.7575439
0.016555615,1.4441364,0.7561887
0.016485514,1.4442823,0.7545861
0.016408186,1.444431,0.7528142
0.016329374,1.4445823,0.75100404
0.016251668,1.444736,0.749215
0.01617793,1.4448918,0.7475134
0.01611038,1.4450502,0.7459512
0.016049363,1.4452118,0.74453723
0.01599329,1.4453753,0.74323547
0.015942657,1.4455407,0.742058
0.0158943,1.4457088,0.74093175
0.015847428,1.4458791,0.7398384
0.015799858,1.4460517,0.7387272
0.01574845,1.4462271,0.73752445
0.01569273,1.4464049,0.7362186
0.0156313,1.4465858,0.73477614
0.015565929,1.446769,0.7332381
0.015498292,1.4469554,0.7316434
0.01543113,1.4471453,0.73005635
0.0153656695,1.447338,0.7285062
0.015303569,1.4475337,0.7270326
0.015245217,1.4477309,0.7256452
0.015191788,1.4479289,0.7243725
0.015141256,1.4481297,0.72316676
0.015093683,1.4483339,0.7220298
0.015047856,1.4485416,0.72093284
0.015002434,1.4487535,0.719844
0.014957513,1.4489667,0.71876544
0.014912667,1.4491837,0.71768713
0.014868228,1.4494045,0.71661705
0.014821613,1.449627,0.7154927
0.014772928,1.4498549,0.7143167
0.0147206625,1.450087,0.71305203
0.01466749,1.4503224,0.711763
0.014612482,1.4505603,0.71042705
0.014556411,1.450801,0.70906276
0.0144999055,1.4510436,0.70768523
0.0144463,1.4512908,0.70637584
0.014393623,1.4515407,0.70508677
0.014344015,1.4517933,0.7038707
0.014298853,1.4520491,0.7027617
0.014254998,1.4523108,0.7016832
0.014213212,1.4525766,0.70065403
0.014170664,1.4528451,0.6996045
0.014126855,1.4531171,0.69852227
0.014080934,1.4533921,0.6973861
0.014033869,1.4536719,0.69621956
0.013985685,1.4539534,0.69502336
0.013937642,1.454235,0.6938286
0.0138905,1.4545193,0.69265413
0.0138432365,1.4548066,0.69147474
0.013796796,1.4550961,0.69031394
0.013752341,1.4553884,0.6892009
0.0137100695,1.4556836,0.6881408
0.013669747,1.4559832,0.6871281
0.013629694,1.456287,0.68612075
0.01358871,1.4565951,0.6850884
0.013547369,1.4569064,0.6840455
0.013506127,1.4572196,0.6830035
0.013465307,1.4575355,0.68197054
0.013423138,1.4578555,0.6809019
0.013381869,1.4581792,0.67985433
0.013340336,1.4585054,0.67879856
0.013299303,1.4588342,0.67775375
0.013259252,1.4591675,0.6767325
0.013219813,1.4595051,0.67572534
0.013180537,1.4598465,0.67472076
0.013140191,1.4601882,0.6736873
0.013100129,1.4605321,0.6726595
0.013060687,1.4608781,0.6716462
0.013024067,1.4612275,0.6707039
0.012989924,1.4615798,0.6698242
0.012955258,1.4619356,0.6689298
0.01292019,1.4622962,0.6680239
0.012884617,1.4626584,0.6671036
0.01284698,1.4630244,0.6661285
0.012808906,1.4633945,0.6651407
0.012769999,1.4637679,0.66412973
0.012729336,1.4641442,0.6630715
0.012690388,1.4645239,0.6620564
0.012652747,1.4649076,0.6610738
0.0126195215,1.4652942,0.66020525
0.012587426,1.4656847,0.6593651
0.012555267,1.4660777,0.6585223
0.012524012,1.4664712,0.65770215
0.012492649,1.4668643,0.6568782
0.012458237,1.467259,0.6559728
0.012425203,1.4676553,0.6551025
0.01238936,1.4680575,0.6541569
0.0123518845,1.4684614,0.65316683
0.012312601,1.4688674,0.6521274
0.012276435,1.4692748,0.6511689
0.012240248,1.469685,0.6502085
0.012206075,1.4700987,0.6493002
0.012172031,1.4705155,0.6483941
0.012138716,1.4709343,0.6475061
0.012105023,1.4713565,0.64660686
0.012072006,1.471782,0.6457245
0.0120411925,1.472211,0.6448998
0.0120122265,1.4726421,0.6441236
0.011985413,1.4730775,0.64340436
0.011959215,1.4735132,0.64270085
0.0119298035,1.4739501,0.64191
0.011897626,1.4743863,0.6410437
0.011862374,1.4748257,0.6400933
0.011827047,1.475268,0.63913953
0.011794051,1.4757098,0.6382473
0.011764851,1.4761534,0.6374567
0.011736752,1.4765984,0.6366951
0.011709628,1.4770486,0.6359589
0.011679701,1.4775028,0.6351457
0.01164816,1.4779599,0.63428754
0.011614853,1.4784186,0.63338006
0.011580423,1.4788775,0.63244057
0.011547375,1.4793382,0.6315375
0.011517554,1.4797989,0.6307215
0.011488425,1.4802629,0.6299234
0.011460842,1.4807293,0.6291667
0.011429991,1.4811966,0.6283194
0.011400152,1.4816661,0.6274987
0.011369805,1.4821361,0.62666297
0.011336663,1.4826087,0.62574893
0.011303207,1.4830838,0.62482494
0.0112698525,1.483559,0.6239024
0.011236838,1.4840353,0.6229878
0.011205432,1.4845147,0.6221167
0.011177107,1.4849968,0.62132984
0.011152439,1.4854789,0.6206438
0.01112644,1.4859618,0.61991996
0.011097983,1.4864445,0.6191267
0.011068438,1.4869282,0.61830205
0.011039752,1.4874144,0.61750025
0.011012797,1.4879034,0.61674595
0.010989017,1.4883916,0.61607975
0.010963084,1.4888839,0.6153524
0.010936133,1.4893777,0.61459553
0.01090554,1.4898742,0.6137353
0.010873455,1.4903688,0.6128318
0.010842433,1.4908669,0.61195695
0.010812466,1.4913682,0.6111107
0.010784722,1.4918711,0.6103262
0.010758124,1.4923713,0.6095731
0.0107316375,1.4928708,0.6088222
0.010703858,1.4933727,0.6080337
0.010673607,1.4938759,0.60717386
0.010641364,1.4943787,0.6062561
0.010612302,1.49488,0.60542774
0.010585361,1.4953837,0.6046588
0.010560853,1.4958907,0.60395837
0.010536398,1.4963969,0.60325867
0.010510874,1.4969034,0.60252756
0.0104851555,1.4974099,0.60179
0.010457826,1.4979179,0.6010052
