mse,p_norm,l2_norm
0.033448506,1.4339253,1.0748451
0.03750844,1.4341004,1.138209
0.04422457,1.434305,1.2359171
0.04098441,1.434507,1.1897806
0.034285035,1.4346837,1.0882027
0.030306416,1.4348284,1.0231159
0.029667418,1.4349483,1.0122724
0.029209398,1.4350675,1.004428
0.026550226,1.4351782,0.95761645
0.022308933,1.4352779,0.87780267
0.018916285,1.4353801,0.8083053
0.018401625,1.4354824,0.7972336
0.02081638,1.4355856,0.8479302
0.024135936,1.4356965,0.9130395
0.025910953,1.4358149,0.94601756
0.025163572,1.4359461,0.93227416
0.022712568,1.4360851,0.88570815
0.020152263,1.4362304,0.8342946
0.018654881,1.4363838,0.8027009
0.018392278,1.4365429,0.7970311
0.01878082,1.4367049,0.80540586
0.01922056,1.4368701,0.81478035
0.019609895,1.4370323,0.82299113
0.020227782,1.437194,0.8358564
0.021247841,1.437354,0.8566727
0.022410795,1.4375103,0.87980443
0.023161225,1.4376633,0.89441335
0.023115315,1.4378133,0.89352643
0.0223894,1.4379607,0.87938434
0.021490674,1.438106,0.861554
0.02091604,1.43825,0.8499575
0.020810088,1.4383918,0.84780204
0.020969093,1.4385345,0.8510348
0.021125682,1.4386779,0.85420644
0.021216298,1.4388226,0.8560366
0.021376956,1.4389735,0.8592715
0.021727122,1.43913,0.8662806
0.022183463,1.4392903,0.87533075
0.022499528,1.4394536,0.8815444
0.022464653,1.4396197,0.880861
0.02208142,1.4397912,0.8733151
0.021532532,1.4399642,0.86239266
0.021022376,1.4401418,0.8521154
0.02064934,1.4403229,0.8445213
0.020418433,1.4405122,0.83978623
0.020333363,1.440709,0.8380349
0.020425927,1.4409181,0.83994025
0.020697836,1.4411358,0.8455124
0.021052461,1.441356,0.8527249
0.021316014,1.4415792,0.8580459
0.021353018,1.4418107,0.85879034
0.02116228,1.4420538,0.85494614
0.020858841,1.4423018,0.8487946
0.020583183,1.4425534,0.84316736
0.020422049,1.4428099,0.83986056
0.020399123,1.4430803,0.8393889
0.020500371,1.4433504,0.8414695
0.020702852,1.4436258,0.8456148
0.020949187,1.4439113,0.85063076
0.021149617,1.4442037,0.85469025
0.021219406,1.4445057,0.8560993
0.021133311,1.4448117,0.85436076
0.020940153,1.4451246,0.85044736
0.020724673,1.4454436,0.8460603
0.020552643,1.4457641,0.84254164
0.020448742,1.4460857,0.84040916
0.020410199,1.4464101,0.8396168
0.020418158,1.446742,0.83978045
0.020442372,1.4470838,0.8402783
0.020437771,1.4474369,0.8401837
0.020362483,1.4477918,0.83863485
0.020208068,1.4481628,0.8354489
0.019996112,1.4485449,0.83105606
0.019776365,1.4489243,0.826477
0.019585697,1.4493102,0.82248324
0.019447606,1.449706,0.8195786
0.019363753,1.4501151,0.81780976
0.019323716,1.4505329,0.8169638
0.019299857,1.4509594,0.81645936
0.019257326,1.4513913,0.81555927
0.019172013,1.4518303,0.81375074
0.019043297,1.4522821,0.8110145
0.018891899,1.4527378,0.8077841
0.018741138,1.4531945,0.8045545
0.018615328,1.4536628,0.80184954
0.018523961,1.454125,0.79987925
0.018459998,1.454599,0.79849714
0.018411683,1.455077,0.79745144
0.018354744,1.4555621,0.7962175
0.018272202,1.4560556,0.79442513
0.018157888,1.4565562,0.79193616
0.018024905,1.457066,0.78903085
0.017889425,1.4575808,0.78606
0.01776693,1.4581041,0.7833642
0.017662637,1.4586337,0.7810616
0.017573584,1.4591675,0.77909005
0.017489346,1.4597065,0.7772205
0.017398776,1.460255,0.7752055
0.017291244,1.4607998,0.7728063
0.017168634,1.4613514,0.77006143
0.017039686,1.461906,0.7671642
0.01691481,1.4624642,0.764348
0.016800627,1.463024,0.76176363
0.016697811,1.4635912,0.7594292
0.016609838,1.4641663,0.75742596
0.016527664,1.4647382,0.7555501
0.016443724,1.4653157,0.75362897
0.016354378,1.4658928,0.75157887
0.016257202,1.4664776,0.74934256
0.016156515,1.4670585,0.7470185
0.016059458,1.4676485,0.74477136
0.015967913,1.4682425,0.74264556
0.015881184,1.4688381,0.74062604
