mse_hybrid_syn,mse_hybrid_phys,mse_phys_only,p_error_hybrid_phys,p_error_hybrid_syn,p_error_phys_only,l2_error_hybrid_phys,l2_error_hybrid_syn,l2_error_phys_only
0.01742384,0.056130406,0.056130406,1.4336858,0.0,1.4338087,0.7449561,1.2264327,0.7449561
0.017076775,0.05612662,0.05612662,1.4334472,0.0,1.4337077,0.7449624,1.1982553,0.74494606
0.016928593,0.05612286,0.056122858,1.4332149,0.0,1.4336069,0.74496615,1.1698378,0.7449361
0.016834633,0.0561191,0.05611909,1.432981,0.0,1.433506,0.7449711,1.1413281,0.7449261
0.016727969,0.056115318,0.05611531,1.4327493,0.0,1.4334053,0.74497586,1.1130801,0.7449161
0.016605528,0.05611153,0.05611152,1.4325197,0.0,1.4333047,0.7449812,1.0857406,0.74490595
0.016483452,0.056107726,0.056107707,1.4322917,0.0,1.4332042,0.7449867,1.059557,0.74489576
0.016375333,0.05610392,0.056103893,1.432062,0.0,1.4331037,0.7449923,1.034699,0.7448856
0.016284136,0.0561001,0.05610007,1.4318335,0.0,1.4330032,0.7449975,1.0115479,0.7448753
0.01620169,0.05609627,0.056096233,1.4316009,0.0,1.4329028,0.74500287,0.98986447,0.744865
0.016118612,0.056092437,0.056092396,1.4313697,0.0,1.4328024,0.74500793,0.96973544,0.7448547
0.016028427,0.05608859,0.056088537,1.4311397,0.0,1.4327021,0.7450131,0.95138764,0.7448442
0.015929494,0.05608472,0.05608467,1.4309089,0.0,1.4326018,0.74501854,0.9345537,0.7448337
0.015827764,0.056080855,0.05608079,1.4306767,0.0,1.4325016,0.7450243,0.9195165,0.74482316
0.015728625,0.056076963,0.05607688,1.4304444,0.0,1.4324012,0.7450295,0.905795,0.74481255
0.015640037,0.056073047,0.056072965,1.4302125,0.0,1.4323009,0.7450349,0.89365906,0.7448018
0.015562475,0.056069132,0.056069035,1.4299815,0.0,1.4322006,0.74504036,0.8831889,0.74479103
0.01549402,0.056065198,0.056065094,1.429747,0.0,1.4321003,0.7450459,0.8741765,0.7447802
0.015430197,0.05606123,0.056061134,1.4295108,0.0,1.4319999,0.7450509,0.8664799,0.7447693
0.015366739,0.056057263,0.05605714,1.4292741,0.0,1.4318994,0.745056,0.86015594,0.74475825
0.015301923,0.056053273,0.05605314,1.4290379,0.0,1.431799,0.74506104,0.855029,0.7447471
0.015237202,0.05604925,0.056049116,1.4288024,0.0,1.4316984,0.74506646,0.85133094,0.74473584
0.015174515,0.056045238,0.05604509,1.4285667,0.0,1.4315978,0.745072,0.84890175,0.74472463
0.015116305,0.056041185,0.056041036,1.4283296,0.0,1.4314972,0.74507743,0.84774446,0.74471325
0.015063507,0.056037106,0.056036938,1.4280902,0.0,1.4313965,0.74508256,0.847679,0.7447017
0.015014338,0.056033008,0.05603284,1.4278513,0.0,1.4312956,0.74508727,0.84859943,0.7446902
0.014965136,0.056028906,0.05602872,1.4276141,0.0,1.4311947,0.74509203,0.85026884,0.7446784
0.014914217,0.056024767,0.056024574,1.4273764,0.0,1.4310937,0.74509674,0.8526323,0.74466664
0.014861502,0.056020606,0.0560204,1.4271362,0.0,1.4309926,0.74510133,0.8552845,0.7446548
0.014807187,0.05601643,0.056016203,1.4268961,0.0,1.4308913,0.74510527,0.85811704,0.7446427
0.014754149,0.056012228,0.05601197,1.4266559,0.0,1.4307898,0.7451094,0.8610225,0.7446306
0.014704263,0.056007992,0.056007717,1.4264127,0.0,1.4306883,0.7451126,0.86392355,0.7446183
0.014657483,0.056003746,0.056003444,1.4261694,0.0,1.4305866,0.7451157,0.86692005,0.7446059
0.014610906,0.055999465,0.055999126,1.4259253,0.0,1.4304847,0.7451189,0.869901,0.74459326
0.014562004,0.05599516,0.055994805,1.4256814,0.0,1.4303826,0.7451217,0.8724197,0.7445807
0.014510063,0.05599082,0.05599044,1.4254353,0.0,1.4302804,0.7451241,0.8745627,0.74456793
0.014455255,0.055986445,0.055986036,1.4251889,0.0,1.430178,0.74512666,0.8765047,0.74455494
0.014398753,0.055982053,0.055981617,1.4249424,0.0,1.4300754,0.74512935,0.8780648,0.74454194
0.014342781,0.05597761,0.05597716,1.4246953,0.0,1.4299726,0.745132,0.8789825,0.7445287
0.014288169,0.05597315,0.05597267,1.4244475,0.0,1.4298697,0.7451348,0.8790264,0.7445153
0.014234129,0.05596865,0.055968136,1.424196,0.0,1.4297664,0.7451371,0.87891126,0.74450177
0.014179652,0.055964112,0.055963576,1.4239452,0.0,1.4296631,0.7451392,0.87834644,0.74448806
0.0141237285,0.055959553,0.055958986,1.4236915,0.0,1.4295594,0.7451415,0.87701666,0.74447423
0.0140662,0.055954948,0.05595435,1.4234372,0.0,1.4294555,0.7451424,0.875707,0.7444602
0.014008789,0.055950314,0.055949673,1.4231799,0.0,1.4293513,0.7451434,0.8743891,0.744446
0.01395207,0.05594565,0.055944964,1.4229231,0.0,1.429247,0.74514437,0.8731933,0.7444316
0.013895708,0.055940937,0.05594023,1.4226662,0.0,1.4291424,0.7451462,0.8717714,0.7444171
0.013839335,0.055936202,0.05593544,1.4224079,0.0,1.4290376,0.7451477,0.87006825,0.7444024
0.013782626,0.05593141,0.05593061,1.4221495,0.0,1.4289323,0.74514866,0.8681726,0.7443875
0.0137254875,0.055926584,0.05592574,1.4218882,0.0,1.4288269,0.74514973,0.866301,0.7443724
0.013667623,0.05592171,0.05592084,1.4216238,0.0,1.4287212,0.7451507,0.86427927,0.74435717
0.013609366,0.055916797,0.055915877,1.4213579,0.0,1.4286152,0.74515116,0.86231345,0.7443416
0.013551216,0.05591184,0.05591088,1.4210916,0.0,1.428509,0.7451517,0.8602761,0.74432594
0.013493574,0.055906843,0.055905834,1.4208246,0.0,1.4284024,0.74515253,0.8583407,0.74430996
0.013436352,0.055901773,0.05590076,1.4205573,0.0,1.4282955,0.74515337,0.8565565,0.7442939
