mse_hybrid_syn,mse_hybrid_phys,mse_phys_only,p_error_hybrid_phys,p_error_hybrid_syn,p_error_phys_only,l2_error_hybrid_phys,l2_error_hybrid_syn,l2_error_phys_only
0.061416768,0.018767228,0.018767228,1.4336978,0.0,1.4336978,0.7449561,1.2941562,0.7449561
0.0576311,0.018764189,0.018764189,1.4334859,0.0,1.433486,0.7449092,1.2573073,0.7449092
0.05404367,0.018761152,0.018761152,1.433274,0.0,1.433274,0.74486244,1.2216399,0.74486244
0.050655395,0.018758116,0.018758116,1.433062,0.0,1.4330621,0.7448158,1.1874135,0.7448158
0.047471263,0.018755086,0.018755082,1.4328499,0.0,1.4328501,0.74476916,1.1544665,0.7447691
0.044488586,0.018752052,0.018752042,1.4326378,0.0,1.432638,0.7447225,1.1231123,0.74472237
0.041703988,0.018749014,0.018749002,1.4324253,0.0,1.4324259,0.7446757,1.0935065,0.74467564
0.039113037,0.018745981,0.018745964,1.4322128,0.0,1.4322135,0.7446291,1.0654829,0.7446288
0.036714222,0.018742943,0.018742919,1.4320003,0.0,1.432001,0.7445823,1.0393168,0.744582
0.034501713,0.018739903,0.018739874,1.4317876,0.0,1.4317882,0.74453557,1.0150441,0.7445352
0.03247279,0.01873686,0.018736828,1.4315747,0.0,1.4315752,0.74448884,0.99277884,0.74448836
0.030623514,0.018733805,0.018733775,1.4313614,0.0,1.4313619,0.7444418,0.97268134,0.74444145
0.028946012,0.01873075,0.01873072,1.4311479,0.0,1.4311483,0.7443949,0.9547321,0.7443944
0.02743563,0.01872769,0.01872766,1.4309341,0.0,1.4309342,0.7443478,0.93893707,0.7443474
0.02608688,0.018724628,0.018724598,1.4307197,0.0,1.4307199,0.7443007,0.9255722,0.74430037
0.024888076,0.018721558,0.018721528,1.430505,0.0,1.4305049,0.7442536,0.9142265,0.74425316
0.023842508,0.018718483,0.018718453,1.4302899,0.0,1.4302896,0.7442063,0.9052425,0.74420583
0.022931978,0.018715402,0.018715372,1.4300742,0.0,1.4300739,0.74415904,0.8985904,0.7441585
0.022147527,0.018712318,0.018712286,1.429858,0.0,1.4298575,0.74411166,0.89448595,0.7441112
0.021473145,0.01870923,0.01870919,1.4296412,0.0,1.4296407,0.7440641,0.89262265,0.7440637
0.020904848,0.018706128,0.018706093,1.4294242,0.0,1.4294231,0.7440165,0.89284635,0.744016
0.020433838,0.018703021,0.018702982,1.4292065,0.0,1.429205,0.7439687,0.8945444,0.7439682
0.020062706,0.018699897,0.018699864,1.428988,0.0,1.4289861,0.74392074,0.89778364,0.7439203
0.019772502,0.018696768,0.01869674,1.4287692,0.0,1.4287666,0.74387276,0.9023462,0.7438724
0.01955373,0.018693626,0.018693605,1.4285496,0.0,1.4285463,0.7438246,0.9080918,0.7438243
0.019392187,0.018690476,0.018690461,1.4283295,0.0,1.4283252,0.74377626,0.91461235,0.74377596
0.01928108,0.018687315,0.018687306,1.4281081,0.0,1.4281033,0.74372774,0.9221471,0.74372756
0.019197421,0.018684154,0.018684145,1.4278861,0.0,1.4278806,0.74367917,0.92983407,0.743679
0.019148728,0.01868097,0.01868097,1.4276632,0.0,1.427657,0.74363035,0.9382172,0.7436303
0.019107087,0.018677784,0.018677782,1.4274393,0.0,1.4274324,0.7435815,0.9471102,0.7435814
0.019064855,0.018674586,0.018674584,1.4272144,0.0,1.427207,0.7435325,0.95583886,0.74353224
0.019025067,0.01867138,0.018671375,1.4269885,0.0,1.4269805,0.74348325,0.9651472,0.74348307
0.01896531,0.018668164,0.018668154,1.4267616,0.0,1.4267529,0.74343383,0.97457814,0.74343365
0.018887624,0.018664928,0.018664917,1.4265338,0.0,1.4265244,0.7433843,0.98365706,0.743384
0.018795893,0.018661683,0.01866167,1.426305,0.0,1.4262947,0.7433345,0.99209607,0.7433342
0.018691998,0.018658413,0.018658405,1.4260752,0.0,1.4260639,0.74328434,1.0003729,0.7432841
0.01856525,0.018655133,0.01865513,1.4258443,0.0,1.425832,0.7432341,1.0079293,0.74323386
0.018423334,0.01865184,0.018651841,1.4256121,0.0,1.4255987,0.74318355,1.0153375,0.74318343
0.018256439,0.018648518,0.018648531,1.4253787,0.0,1.4253644,0.74313265,1.0226598,0.74313265
0.018066471,0.01864519,0.01864521,1.4251442,0.0,1.4251287,0.7430817,1.0289558,0.74308175
0.017868306,0.01864184,0.01864187,1.4249085,0.0,1.4248917,0.74303037,1.0338589,0.74303055
0.017669788,0.018638479,0.018638516,1.4246715,0.0,1.4246534,0.7429789,1.0373341,0.7429791
0.0174715,0.018635096,0.018635146,1.4244335,0.0,1.4244137,0.7429271,1.0400083,0.7429275
0.017268207,0.018631693,0.018631754,1.4241939,0.0,1.4241725,0.7428749,1.0418699,0.7428755
0.017062357,0.018628273,0.018628346,1.4239528,0.0,1.4239299,0.7428226,1.0432752,0.7428233
0.01685478,0.018624833,0.01862492,1.4237106,0.0,1.4236858,0.74276996,1.043206,0.7427708
0.016659137,0.018621376,0.018621476,1.4234668,0.0,1.4234402,0.742717,1.0425559,0.74271804
0.016469646,0.0186179,0.018618014,1.4232215,0.0,1.423193,0.7426638,1.040969,0.742665
0.016292272,0.01861439,0.018614534,1.4229747,0.0,1.4229443,0.74261016,1.0389509,0.74261165
0.016122987,0.018610869,0.018611027,1.4227263,0.0,1.4226938,0.74255633,1.0351533,0.74255794
0.015979955,0.018607324,0.018607505,1.4224763,0.0,1.4224417,0.7425021,1.0310534,0.742504
0.01584979,0.018603757,0.01860396,1.4222248,0.0,1.422188,0.7424475,1.0259365,0.7424497
0.015741054,0.018600162,0.018600393,1.4219716,0.0,1.4219325,0.7423925,1.0209979,0.74239504
