mse_hybrid_syn,mse_hybrid_phys,mse_phys_only,p_error_hybrid_phys,p_error_hybrid_syn,p_error_phys_only,l2_error_hybrid_phys,l2_error_hybrid_syn,l2_error_phys_only
0.020541903,0.015669145,0.015669145,1.4336978,0.0,1.4336978,0.7449561,0.8796004,0.7449561
0.01952039,0.015667569,0.015667569,1.433486,0.0,1.433486,0.7449092,0.86924213,0.7449092
0.01862303,0.015665997,0.015665997,1.433274,0.0,1.433274,0.74486244,0.86157846,0.74486244
0.017871648,0.015664425,0.015664425,1.4330622,0.0,1.4330621,0.7448158,0.85557014,0.7448158
0.017382162,0.015662853,0.015662853,1.4328501,0.0,1.4328501,0.7447691,0.85063064,0.7447691
0.01702085,0.01566128,0.01566128,1.432638,0.0,1.432638,0.74472237,0.84655374,0.74472237
0.016686894,0.015659705,0.015659705,1.4324259,0.0,1.4324259,0.74467564,0.8431448,0.74467564
0.016410023,0.015658129,0.015658129,1.4322134,0.0,1.4322134,0.7446288,0.84009826,0.7446288
0.016159652,0.015656551,0.015656551,1.4320009,0.0,1.4320009,0.744582,0.83718836,0.74458206
0.015953887,0.015654972,0.015654972,1.4317881,0.0,1.431788,0.7445352,0.8341694,0.7445352
0.01581721,0.015653394,0.015653396,1.431575,0.0,1.431575,0.74448836,0.83129215,0.74448836
0.015733857,0.015651813,0.015651813,1.4313614,0.0,1.4313616,0.74444145,0.82885253,0.74444145
0.015652886,0.015650228,0.015650228,1.4311477,0.0,1.4311478,0.7443945,0.82681745,0.7443945
0.015601064,0.015648637,0.015648637,1.4309336,0.0,1.4309337,0.7443474,0.8250015,0.7443474
0.015542604,0.015647052,0.015647052,1.4307189,0.0,1.4307193,0.74430037,0.8234824,0.74430037
0.015488222,0.015645457,0.015645457,1.4305038,0.0,1.4305042,0.7442532,0.8222654,0.74425316
0.015465024,0.01564386,0.01564386,1.4302883,0.0,1.4302888,0.7442059,0.82106096,0.7442059
0.01539048,0.015642261,0.015642261,1.4300723,0.0,1.4300728,0.74415857,0.81994796,0.74415857
0.01535626,0.015640661,0.01564066,1.4298558,0.0,1.4298562,0.74411124,0.8188733,0.74411124
0.01530425,0.015639056,0.015639052,1.4296386,0.0,1.4296391,0.74406374,0.8180092,0.7440637
0.015273163,0.015637446,0.015637444,1.4294208,0.0,1.4294213,0.7440162,0.81730604,0.7440161
0.0152295,0.01563583,0.015635824,1.4292022,0.0,1.4292028,0.7439684,0.8166943,0.74396837
0.015209035,0.015634207,0.015634203,1.4289831,0.0,1.4289837,0.7439205,0.81598675,0.74392045
0.01516178,0.015632588,0.015632583,1.4287632,0.0,1.4287639,0.7438726,0.8152074,0.74387246
0.015105059,0.015630959,0.015630951,1.4285425,0.0,1.4285432,0.74382454,0.81445074,0.74382436
0.015082561,0.015629325,0.015629318,1.4283209,0.0,1.4283217,0.7437763,0.813683,0.7437762
0.015034345,0.015627686,0.015627678,1.4280987,0.0,1.4280994,0.7437279,0.8127782,0.74372774
0.014952588,0.015626041,0.015626032,1.4278755,0.0,1.4278762,0.74367946,0.8117833,0.74367917
0.014824858,0.015624386,0.015624378,1.4276514,0.0,1.4276521,0.74363077,0.810935,0.74363047
0.014685792,0.015622729,0.015622722,1.4274263,0.0,1.427427,0.7435819,0.8101733,0.7435816
0.014560592,0.015621064,0.015621056,1.4272003,0.0,1.427201,0.7435328,0.80949724,0.74353254
0.014453407,0.015619392,0.015619384,1.4269733,0.0,1.4269739,0.74348354,0.8088072,0.7434833
0.014357,0.015617714,0.015617707,1.4267452,0.0,1.4267458,0.7434341,0.8079284,0.7434339
0.014281692,0.01561603,0.015616023,1.426516,0.0,1.4265165,0.74338454,0.80708504,0.7433843
0.014207855,0.015614337,0.015614331,1.4262857,0.0,1.4262861,0.7433348,0.8061353,0.74333453
0.014144766,0.015612636,0.015612629,1.4260542,0.0,1.4260545,0.7432847,0.8049868,0.7432845
0.014104436,0.015610929,0.015610922,1.4258215,0.0,1.4258218,0.7432345,0.80383843,0.7432343
0.014073268,0.015609217,0.015609208,1.4255877,0.0,1.4255877,0.7431842,0.80265784,0.743184
0.014060996,0.015607489,0.01560748,1.4253523,0.0,1.4253523,0.7431334,0.80158526,0.7431331
0.014043468,0.01560576,0.015605749,1.4251157,0.0,1.4251157,0.7430827,0.8005593,0.7430823
0.014048813,0.015604016,0.015604004,1.4248778,0.0,1.4248778,0.7430315,0.79965234,0.74303114
0.0140462695,0.015602269,0.015602255,1.4246384,0.0,1.4246383,0.74298024,0.79875755,0.74297976
0.014005592,0.015600508,0.015600495,1.4243976,0.0,1.4243973,0.7429286,0.797911,0.7429281
0.013973286,0.015598737,0.015598725,1.4241552,0.0,1.424155,0.74287665,0.7971611,0.74287623
0.013957104,0.015596958,0.015596941,1.4239113,0.0,1.4239112,0.74282455,0.7963513,0.74282396
0.013911008,0.015595171,0.015595154,1.423666,0.0,1.4236658,0.7427721,0.7955981,0.74277157
0.013861079,0.0155933695,0.015593353,1.423419,0.0,1.4234188,0.74271935,0.7949873,0.7427189
0.013807645,0.015591563,0.015591546,1.4231703,0.0,1.4231702,0.7426665,0.7944502,0.7426659
0.013754992,0.015589741,0.015589724,1.4229201,0.0,1.4229199,0.74261314,0.7939288,0.74261266
0.013700065,0.015587905,0.0155878905,1.4226682,0.0,1.4226679,0.7425595,0.79336774,0.74255896
